id,courseid,testid,stuid,Tflist,knowledgeList,score,totalScore
261,15600,50065,5080,"1,1,1,0,1,0,0,0,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",10,20
262,15600,50065,5094,"1,1,0,0,0,0,1,1,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",10,20
263,15600,50065,5076,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",20,20
264,15600,50065,5106,"1,1,1,0,0,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
265,15600,50065,5059,"1,1,1,1,1,0,0,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",14,20
266,15600,50065,5081,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",20,20
267,15600,50065,5071,"1,1,1,1,1,1,1,0,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
268,15600,50065,5100,"0,1,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",18,20
269,15600,50065,5067,"1,1,0,0,0,0,0,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",8,20
270,15600,50065,5066,"1,1,1,0,1,0,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
271,15600,50065,5056,"1,1,1,0,1,0,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
272,15600,50065,5082,"1,1,1,0,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",18,20
273,15600,50065,5062,"1,1,1,0,1,0,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
274,15600,50065,5108,"1,1,1,1,0,1,1,1,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
275,15600,50065,5090,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",20,20
276,15600,50065,5058,"1,0,1,0,1,1,0,0,0,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",10,20
277,15600,50065,5096,"1,1,1,0,1,1,1,0,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",14,20
278,15600,50065,5095,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",20,20
279,15600,50065,5098,"0,1,1,0,1,0,0,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",10,20
280,15600,50065,5091,"1,1,1,1,1,1,1,0,0,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
281,15600,50065,5110,"1,1,0,0,1,0,1,0,0,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",8,20
282,15600,50065,5073,"1,1,1,1,1,1,1,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",18,20
283,15600,50065,5083,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",20,20
284,15600,50065,5065,"1,1,1,0,1,0,1,0,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",12,20
285,15600,50065,5070,"1,1,1,1,1,1,1,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",18,20
286,15600,50065,5092,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",20,20
287,15600,50065,5057,"1,1,1,1,1,1,1,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",18,20
288,15600,50065,5088,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",20,20
289,15600,50065,5086,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",20,20
290,15600,50065,5075,"1,1,1,1,1,1,1,1,0,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",18,20
291,15600,50065,5103,"1,1,1,1,1,0,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",18,20
292,15600,50065,5072,"1,1,1,1,1,1,1,1,0,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
293,15600,50065,5061,"1,1,1,1,1,0,0,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",14,20
294,15600,50065,5089,"1,1,1,1,1,1,1,0,0,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
295,15600,50065,5116,"1,1,0,1,0,1,1,1,0,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",12,20
296,15600,50065,5104,"1,1,1,1,1,1,1,1,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",18,20
297,15600,50065,5078,"1,1,0,1,1,1,1,0,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",14,20
298,15600,50065,5064,"1,1,1,0,1,0,1,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",14,20
299,15600,50065,5114,"0,1,0,0,0,0,0,0,0,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",2,20
300,15600,50065,5060,"1,1,1,1,1,0,1,0,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",14,20
301,15600,50065,5113,"1,1,0,0,0,0,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",12,20
302,15600,50065,5063,"1,1,1,1,1,0,1,0,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",14,20
303,15600,50065,5077,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",20,20
304,15600,50065,5068,"1,1,0,1,1,1,0,0,0,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",10,20
305,15600,50065,5107,"1,1,1,1,1,1,1,0,0,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",14,20
306,15600,50065,5111,"0,1,0,0,0,1,1,0,0,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",8,20
307,15600,50065,5093,"1,1,1,1,1,1,1,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",18,20
308,15600,50065,5101,"1,0,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",18,20
309,15600,50065,5079,"1,0,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",18,20
310,15600,50065,5102,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",20,20
311,15600,50065,5109,"1,1,1,0,1,1,1,1,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
312,15600,50065,5097,"1,1,1,0,1,1,0,0,0,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",12,20
313,15600,50065,5069,"1,1,1,1,1,1,1,0,0,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
314,15600,50065,5085,"1,1,0,1,1,1,0,0,0,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",10,20
315,15600,50065,5064,"1,1,1,0,1,0,1,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",14,20
316,15600,50065,5055,"1,1,1,0,1,0,1,0,0,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",12,20
317,15600,50065,5112,"1,1,0,0,1,1,1,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",14,20
318,15600,50065,5105,"1,1,1,0,1,1,1,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
319,15600,50065,5074,"1,1,1,0,1,1,1,0,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",14,20
320,15600,50065,5111,"0,1,0,0,0,1,1,0,0,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",8,20
321,15600,50065,5087,"1,1,1,1,1,1,1,0,1,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",16,20
322,15600,50065,5115,"0,1,0,0,0,1,0,0,1,1","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",8,20
323,15600,50065,5084,"1,1,1,0,1,1,1,1,0,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",14,20
324,15600,50065,5099,"1,1,0,1,1,0,0,0,0,0","1_1_2,1_1_3,4_3_1,4_3_2,4_2_1,5_3_2",8,20
326,15600,-1,5059,"0,1,0,1,0,1,1,1,0,1","4_3_1,4_2_1,4_2_3,4_3_2",12,20
327,15600,50039,5106,"0,1,0,1,1,1,1,1,1,1","1_1_3,1_1_1",16,20
328,15600,50039,5098,"0,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
329,15600,50039,5064,"0,0,1,1,1,1,1,0,1,1","1_1_3,1_1_1",14,20
330,15600,50039,5116,"1,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
331,15600,50039,5093,"1,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
332,15600,50039,5093,"1,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
333,15600,50039,5119,"1,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
334,15600,50040,5098,"1,1,1,1,1,1,1,1,0,1","1_1_3,1_1_1,1_1_2",18,20
335,15600,50039,5104,"0,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
336,15600,50039,5070,"1,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
337,15600,50043,5061,"1,1,1,0,0,0,1,1,1,1","2_5_3,2_4_6,2_4_1,2_5_2",14,20
338,15600,50039,5113,"0,0,1,1,0,1,1,1,1,1","1_1_3,1_1_1",14,20
339,15600,50039,5073,"0,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
340,15600,50039,5068,"0,0,1,1,1,1,1,0,1,1","1_1_3,1_1_1",14,20
341,15600,50040,5093,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1,1_1_2",20,20
342,15600,50039,5080,"1,0,0,1,0,1,1,0,1,1","1_1_3,1_1_1",12,20
343,15600,50039,5119,"1,0,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
344,15600,50039,5074,"0,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",18,20
345,15600,50039,5076,"0,0,1,1,1,1,1,0,1,1","1_1_3,1_1_1",14,20
346,15600,50039,5105,"1,1,1,1,1,1,1,1,1,1","1_1_3,1_1_1",20,20
347,15600,50039,5057,"1,0,0,1,1,1,1,0,1,1","1_1_3,1_1_1",14,20
348,15600,50039,5091,"0,1,0,1,1,1,1,0,1,0","1_1_3,1_1_1",12,20
349,15600,50040,5116,"1,1,1,1,0,1,1,1,1,1","1_1_3,1_1_1,1_1_2",18,20
350,15600,50039,5110,"1,0,1,1,0,1,1,0,1,1","1_1_3,1_1_1",14,20
351,15600,50039,5110,"1,0,1,1,0,1,1,0,1,1","1_1_3,1_1_1",14,20
352,15600,50039,5079,"0,0,1,1,0,1,1,0,1,1","1_1_3,1_1_1",12,20
