courseid,testid,stuid,Tflist,knowledgeList,score,totalScore
17600,50080,5113,"1,1,1,1,1,1,0,1,0,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",16,20
17600,50080,5067,"0,1,1,1,1,1,1,1,0,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",16,20
17600,50080,5095,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5106,"0,0,1,1,1,0,0,1,0,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",10,20
17600,50080,5062,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5063,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5096,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5091,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5072,"1,1,1,1,0,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5063,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5103,"1,0,0,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",16,20
17600,50080,5059,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5099,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5079,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50080,5097,"1,0,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5075,"1,0,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5064,"1,1,1,1,0,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5066,"1,0,1,1,1,1,0,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",16,20
17600,50081,5113,"1,0,1,0,0,1,0,1,1,1","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",12,20
17600,50081,5061,"1,1,1,1,1,1,1,1,1,1","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",20,20
17600,50081,5104,"1,1,1,1,1,1,1,1,1,1","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",20,20
17600,50080,5101,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
17600,50081,5095,"1,1,1,1,1,1,1,1,1,1","2_4_1,2_1_1,6_1_1,2_4_4,2_4_2,2_4_3,2_4_5,2_2_1,6_1_4,6_1_5,6_1_2,6_1_3,2_1_2,2_2_2",20,20
17600,50080,5089,"1,0,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5068,"1,1,1,0,0,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",16,20
17600,50080,5069,"1,1,1,1,1,1,0,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5092,"1,0,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",18,20
17600,50080,5057,"1,1,1,1,1,1,1,1,1,1","1_1_2,1_1_1,1_1_3,1_2_5,1_2_2,1_3_2,1_2_8,1_2_1,1_2_3,1_2_4,1_2_6,1_2_7",20,20
