stuid,score1,score2,score3
5055,61,90,85
5056,87,84,90
5057,77,93,85
5058,67,61,62
5059,70,75,88
5060,63,66,69
5061,83,80,82
5062,95,92,85
5063,60,60,53
5064,89,98,96
5065,78,73,78
5066,89,93,96
5067,67,60,82
5068,89,91,81
5069,85,67,87
5070,,90,97
5071,78,87,82
5072,72,60,65
5073,74,80,80
5074,69,60,79
5075,82,93,92
5076,89,99,97
5077,89,96,89
5078,73,67,80
5079,74,87,84
5080,40,45,60
5081,95,97,90
5082,91,98,86
5083,89,85,91
5084,,89,88
5085,71,68,85
5086,90,94,89
5087,78,69,83
5088,85,74,95
5089,86,93,92
5090,95,99,94
5091,64,49,66
5092,95,97,95
5093,86,95,92
5094,71,67,68
5095,,92,85
5096,,79,88
5097,,55,78
5098,90,89,86
5099,,39,43
5100,86,94,81
5101,89,97,90
5102,97,100,95
5103,75,86,87
5104,71,89,73
5105,92,90,87
5106,95,78,55
5107,77,60,74
5108,83,77,82
5109,84,98,91
5110,91,75,89
5111,,64,71
5112,83,80,92
5113,75,72,84
5114,79,95,71
5115,74,51,74
5116,85,91,92
5119,96,99,96
